as_of_date,store_id,product_id,category,inventory_date,current_inventory,in_transit_inventory,lead_time_days,effective_lead_time_days,forecast_during_lead_time,forecast_7d_total,safety_stock,error_std,avg_daily_units_sold,coverage_days,inventory_status,suggested_replenishment,forecast_status,recommendation_status,message,data_version,model_version,calculated_at
2024-01-19,S002,P0002,Toys,2024-01-19,123,0,1,1,66.2,438.2,94.5,40.57845184441028,82.81,1.5,critical,38,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-20,S002,P0002,Toys,2024-01-20,228,0,1,1,64.8,435.3,93.3,40.02629968404547,83.1,2.7,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-21,S002,P0002,Toys,2024-01-21,189,0,1,1,57.4,382.0,91.6,39.30039306950962,82.96,2.3,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-22,S002,P0002,Toys,2024-01-22,146,0,1,1,53.4,375.7,89.7,38.51169367449823,82.99,1.8,critical,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-23,S002,P0002,Toys,2024-01-23,101,0,1,1,47.0,331.3,88.2,37.86838003126783,82.71,1.2,critical,35,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-24,S002,P0002,Toys,2024-01-24,178,0,1,1,44.3,324.9,86.9,37.31744576697125,81.91,2.2,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-25,S002,P0002,Toys,2024-01-25,140,0,1,1,45.2,317.5,92.0,39.4799501687641,81.64,1.7,critical,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-26,S002,P0002,Toys,2024-01-26,217,0,1,1,49.9,347.5,92.1,39.5100355978381,80.52,2.7,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-27,S002,P0002,Toys,2024-01-27,86,0,1,1,57.9,398.3,90.5,38.84699599684366,80.62,1.1,critical,63,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-28,S002,P0002,Toys,2024-01-28,190,0,1,1,61.3,418.5,90.5,38.84699599684366,80.76,2.4,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-29,S002,P0002,Toys,2024-01-29,515,0,1,1,61.8,425.5,90.5,38.84699599684366,80.73,6.4,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-30,S002,P0002,Toys,2024-01-30,443,0,1,1,56.6,418.0,90.5,38.84699599684366,80.52,5.5,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-28,S002,P0003,Groceries,2023-12-28,394,0,2,2,140.1,468.5,3.3,1.0,92.78,4.2,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-29,S002,P0003,Groceries,2023-12-29,309,0,2,2,137.6,471.2,49.9,15.153576544613328,93.01,3.3,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-30,S002,P0003,Groceries,2023-12-30,297,0,2,2,113.6,404.1,171.0,51.888975284816176,92.4,3.2,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-31,S002,P0003,Groceries,2023-12-31,261,0,2,2,112.7,399.0,187.5,56.8999523966569,91.23,2.9,low,40,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-01,S002,P0003,Groceries,2024-01-01,157,0,2,2,129.7,438.5,171.0,51.8844782437463,91.4,1.7,critical,144,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-02,S002,P0003,Groceries,2024-01-02,30,313,2,2,132.6,460.4,164.5,49.910788997387804,91.48,3.7,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-03,S002,P0003,Groceries,2024-01-03,0,0,2,2,109.8,395.9,150.3,45.618298916809785,89.66,0.0,critical,261,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-04,S002,P0003,Groceries,2024-01-04,202,418,2,2,127.5,436.6,139.2,42.24926404194391,89.19,7.0,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-05,S002,P0003,Groceries,2024-01-05,141,0,2,2,120.3,422.0,132.5,40.22488921520679,89.6,1.6,critical,112,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-06,S002,P0003,Groceries,2024-01-06,496,0,2,2,121.2,432.0,126.5,38.3827194284159,88.91,5.6,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-07,S002,P0003,Groceries,2024-01-07,451,0,2,2,124.5,426.8,122.0,37.00980218067344,88.01,5.1,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-08,S002,P0003,Groceries,2024-01-08,403,0,2,2,116.0,388.7,133.2,40.40903555778691,87.23,4.6,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-09,S002,P0003,Groceries,2024-01-09,358,0,2,2,101.2,347.0,163.6,49.649024730953656,87.24,4.1,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-10,S002,P0003,Groceries,2024-01-10,236,0,2,2,113.7,401.1,160.3,48.634143418881905,87.84,2.7,low,38,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-11,S002,P0003,Groceries,2024-01-11,68,373,2,2,131.9,454.6,154.5,46.873997709957244,89.19,4.9,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-12,S002,P0003,Groceries,2024-01-12,29,570,2,2,120.7,432.1,149.4,45.32619679141367,89.46,6.7,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-13,S002,P0003,Groceries,2024-01-13,334,0,2,2,120.2,437.4,145.5,44.168203504073304,89.3,3.7,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-14,S002,P0003,Groceries,2024-01-14,838,0,2,2,128.0,448.7,141.3,42.88630613749013,89.49,9.4,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-15,S002,P0003,Groceries,2024-01-15,786,0,2,2,131.5,449.9,137.3,41.6824255138759,89.51,8.8,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-16,S002,P0003,Groceries,2024-01-16,716,0,2,2,137.0,450.3,137.6,41.747663152186824,89.59,8.0,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-17,S002,P0003,Groceries,2024-01-17,641,0,2,2,128.2,438.0,134.1,40.70114474205882,89.66,7.1,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-18,S002,P0003,Groceries,2024-01-18,524,0,2,2,121.3,416.5,132.6,40.227164939317746,90.3,5.8,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-19,S002,P0003,Groceries,2024-01-19,442,0,2,2,123.1,443.9,129.6,39.31714725859658,90.04,4.9,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-20,S002,P0003,Groceries,2024-01-20,407,0,2,2,115.9,429.0,130.5,39.59785245853772,89.61,4.5,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-21,S002,P0003,Groceries,2024-01-21,328,0,2,2,123.6,441.0,128.0,38.83908512131996,89.33,3.7,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-22,S002,P0003,Groceries,2024-01-22,212,0,2,2,143.6,497.2,128.9,39.116047546257725,89.13,2.4,low,61,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-23,S002,P0003,Groceries,2024-01-23,144,421,2,2,150.9,494.0,126.6,38.42795296502633,89.07,6.3,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-24,S002,P0003,Groceries,2024-01-24,102,0,2,2,138.8,469.2,125.6,38.10260720467929,89.18,1.1,critical,163,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-25,S002,P0003,Groceries,2024-01-25,431,0,2,2,127.2,439.0,134.0,40.660357581633626,89.59,4.8,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-26,S002,P0003,Groceries,2024-01-26,322,0,2,2,126.5,457.7,132.7,40.28354611672567,89.9,3.6,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-27,S002,P0003,Groceries,2024-01-27,168,424,2,2,144.5,523.7,130.6,39.62146261402805,90.61,6.5,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-28,S002,P0003,Groceries,2024-01-28,57,0,2,2,154.6,550.1,130.6,39.62146261402805,91.17,0.6,critical,229,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-29,S002,P0003,Groceries,2024-01-29,388,0,2,2,148.2,535.4,130.6,39.62146261402805,91.44,4.2,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-30,S002,P0003,Groceries,2024-01-30,318,0,2,2,158.6,533.6,130.6,39.62146261402805,90.99,3.5,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-28,S002,P0004,Groceries,2023-12-28,899,0,2,2,176.5,562.6,3.3,1.0,96.22,9.3,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-29,S002,P0004,Groceries,2023-12-29,819,0,2,2,146.6,486.9,19.4,5.875749437367736,96.41,8.5,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-30,S002,P0004,Groceries,2023-12-30,763,0,2,2,124.8,437.4,14.4,4.371224382281673,96.47,7.9,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-31,S002,P0004,Groceries,2023-12-31,708,0,2,2,121.9,420.4,94.0,28.53240858591178,95.69,7.4,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-01,S002,P0004,Groceries,2024-01-01,659,0,2,2,101.5,355.3,82.4,25.01608876174206,95.22,6.9,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-02,S002,P0004,Groceries,2024-01-02,561,0,2,2,104.9,387.2,76.8,23.292349575880593,94.21,6.0,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-03,S002,P0004,Groceries,2024-01-03,507,0,2,2,106.8,370.8,77.8,23.614329595290172,93.22,5.4,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-04,S002,P0004,Groceries,2024-01-04,464,0,2,2,109.7,352.7,74.3,22.537133264822714,93.12,5.0,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-05,S002,P0004,Groceries,2024-01-05,382,0,2,2,101.6,350.7,87.2,26.465530430982096,93.5,4.1,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-06,S002,P0004,Groceries,2024-01-06,350,0,2,2,89.8,327.3,84.0,25.487033547854963,92.94,3.8,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-07,S002,P0004,Groceries,2024-01-07,254,0,2,2,100.2,340.7,143.0,43.389569295134166,93.33,2.7,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-08,S002,P0004,Groceries,2024-01-08,216,376,2,2,95.5,330.6,150.8,45.75778184093828,93.14,6.4,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-09,S002,P0004,Groceries,2024-01-09,48,0,2,2,105.6,390.4,144.5,43.86674634550574,94.76,0.5,critical,203,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-10,S002,P0004,Groceries,2024-01-10,298,0,2,2,127.6,443.1,140.4,42.61566989094151,95.53,3.1,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-11,S002,P0004,Groceries,2024-01-11,227,493,2,2,140.2,462.2,136.0,41.28346257134802,95.7,7.5,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-12,S002,P0004,Groceries,2024-01-12,166,0,2,2,128.4,451.1,138.5,42.035795719166536,95.91,1.7,critical,101,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-13,S002,P0004,Groceries,2024-01-13,597,0,2,2,126.2,462.6,134.2,40.73694254094596,95.89,6.2,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-14,S002,P0004,Groceries,2024-01-14,466,0,2,2,146.5,497.5,135.5,41.12776230979491,96.62,4.8,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-15,S002,P0004,Groceries,2024-01-15,367,0,2,2,161.5,545.1,133.1,40.4069457069276,97.0,3.8,low,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-16,S002,P0004,Groceries,2024-01-16,230,457,2,2,146.4,537.8,136.8,41.50491801799388,98.34,7.0,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-17,S002,P0004,Groceries,2024-01-17,161,0,2,2,144.1,509.5,142.2,43.16692456705965,97.7,1.6,critical,126,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-18,S002,P0004,Groceries,2024-01-18,458,0,2,2,166.4,567.4,145.2,44.05983931038671,98.7,4.6,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-19,S002,P0004,Groceries,2024-01-19,291,635,2,2,178.2,631.4,154.2,46.795860109957495,99.76,9.3,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-20,S002,P0004,Groceries,2024-01-20,125,0,2,2,182.4,667.0,150.9,45.80305625013309,100.52,1.2,critical,209,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-21,S002,P0004,Groceries,2024-01-21,556,0,2,2,202.4,699.1,149.3,45.30236097246086,102.39,5.4,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-22,S002,P0004,Groceries,2024-01-22,427,0,2,2,206.3,716.2,147.8,44.85162456283414,102.94,4.1,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-23,S002,P0004,Groceries,2024-01-23,332,0,2,2,190.1,703.9,150.0,45.528128090818676,103.47,3.2,low,9,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-24,S002,P0004,Groceries,2024-01-24,236,369,2,2,198.5,700.6,151.0,45.82608554669761,102.94,5.9,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-25,S002,P0004,Groceries,2024-01-25,162,0,2,2,205.8,705.9,148.3,45.00163864216301,102.6,1.6,critical,193,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-26,S002,P0004,Groceries,2024-01-26,454,0,2,2,200.1,698.0,148.0,44.906211345871235,101.98,4.5,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-27,S002,P0004,Groceries,2024-01-27,328,0,2,2,187.9,688.2,145.5,44.159146404151045,101.96,3.2,low,6,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-28,S002,P0004,Groceries,2024-01-28,250,0,2,2,169.4,612.0,145.5,44.159146404151045,101.8,2.5,low,65,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-29,S002,P0004,Groceries,2024-01-29,129,303,2,2,166.2,610.5,145.5,44.159146404151045,102.83,4.2,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-30,S002,P0004,Groceries,2024-01-30,70,0,2,2,155.8,574.4,145.5,44.159146404151045,102.18,0.7,critical,232,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-28,S002,P0005,Electronics,2023-12-28,604,0,3,3,218.4,506.8,4.0,1.0,82.4,7.3,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-29,S002,P0005,Electronics,2023-12-29,546,0,3,3,190.2,437.8,81.4,20.166079852564707,82.61,6.6,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-30,S002,P0005,Electronics,2023-12-30,516,0,3,3,176.2,401.0,64.0,15.851874075802838,81.93,6.3,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-31,S002,P0005,Electronics,2023-12-31,472,0,3,3,165.4,381.4,63.1,15.644263980246807,81.66,5.8,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-01,S002,P0005,Electronics,2024-01-01,437,0,3,3,134.2,309.4,169.6,42.03334648065725,80.74,5.4,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-02,S002,P0005,Electronics,2024-01-02,393,0,3,3,132.1,301.8,152.8,37.85135878011275,80.62,4.9,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-03,S002,P0005,Electronics,2024-01-03,284,0,3,3,137.1,324.3,148.1,36.68693182450705,80.81,3.5,low,2,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-04,S002,P0005,Electronics,2024-01-04,258,336,3,3,127.6,300.6,137.8,34.141710232985,80.36,7.4,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-05,S002,P0005,Electronics,2024-01-05,191,336,3,3,126.4,299.3,130.9,32.44339286750753,80.6,6.5,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-06,S002,P0005,Electronics,2024-01-06,161,0,3,3,122.3,284.1,130.4,32.31388951130291,80.52,2.0,critical,92,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-07,S002,P0005,Electronics,2024-01-07,442,0,3,3,122.0,279.6,143.6,35.591044677592144,80.57,5.5,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-08,S002,P0005,Electronics,2024-01-08,373,0,3,3,126.5,292.3,137.6,34.08719505646675,80.44,4.6,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-09,S002,P0005,Electronics,2024-01-09,271,446,3,3,148.2,331.6,133.0,32.9520323716842,81.2,8.8,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-10,S002,P0005,Electronics,2024-01-10,213,446,3,3,131.2,309.3,139.3,34.50526512514702,81.06,8.1,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-11,S002,P0005,Electronics,2024-01-11,140,0,3,3,140.5,330.7,138.7,34.36142012082237,81.0,1.7,critical,140,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-12,S002,P0005,Electronics,2024-01-12,487,0,3,3,149.2,355.1,145.0,35.929888661229405,81.29,6.0,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-13,S002,P0005,Electronics,2024-01-13,462,0,3,3,152.3,357.7,140.4,34.78921345674595,81.12,5.7,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-14,S002,P0005,Electronics,2024-01-14,346,0,3,3,174.9,401.2,142.8,35.377714015694465,81.46,4.2,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-15,S002,P0005,Electronics,2024-01-15,286,336,3,3,172.7,399.1,148.4,36.77786188160895,81.54,7.6,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-16,S002,P0005,Electronics,2024-01-16,167,336,3,3,186.1,417.7,152.6,37.81805321111048,82.59,6.1,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-17,S002,P0005,Electronics,2024-01-17,38,0,3,3,195.2,464.2,155.1,38.42219067239016,83.5,0.5,critical,313,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-18,S002,P0005,Electronics,2024-01-18,348,542,3,3,185.7,439.4,168.0,41.62344937295279,83.51,10.7,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-19,S002,P0005,Electronics,2024-01-19,224,542,3,3,193.3,465.5,164.2,40.67798097601254,84.47,9.1,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-20,S002,P0005,Electronics,2024-01-20,59,0,3,3,227.6,537.6,163.8,40.577589545876286,85.96,0.7,critical,333,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-21,S002,P0005,Electronics,2024-01-21,517,843,3,3,235.2,542.2,160.9,39.858439391650805,86.11,15.8,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-22,S002,P0005,Electronics,2024-01-22,460,843,3,3,229.5,537.1,157.6,39.05982501329766,86.09,15.1,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-23,S002,P0005,Electronics,2024-01-23,375,0,3,3,235.7,537.6,157.3,38.97292508153881,86.21,4.3,normal,18,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-24,S002,P0005,Electronics,2024-01-24,1130,0,3,3,225.4,531.0,156.9,38.87155054646559,85.62,13.2,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-25,S002,P0005,Electronics,2024-01-25,992,0,3,3,239.6,563.8,156.2,38.70384347924589,86.41,11.5,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-26,S002,P0005,Electronics,2024-01-26,862,0,3,3,236.6,578.9,153.5,38.03133568707598,86.28,10.0,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-27,S002,P0005,Electronics,2024-01-27,728,0,3,3,246.4,605.3,152.8,37.857170525172066,86.33,8.4,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-28,S002,P0005,Electronics,2024-01-28,625,0,3,3,254.4,613.8,152.8,37.857170525172066,86.98,7.2,sufficient,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-29,S002,P0005,Electronics,2024-01-29,552,0,3,3,259.9,620.5,152.8,37.857170525172066,87.01,6.3,normal,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-30,S002,P0005,Electronics,2024-01-30,387,0,3,3,278.4,640.9,152.8,37.857170525172066,86.94,4.5,normal,45,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-28,S002,P0006,Clothing,2023-12-28,68,0,0,1,65.3,441.1,2.3,1.0,86.62,0.8,critical,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-29,S002,P0006,Clothing,2023-12-29,88,0,0,1,62.1,425.3,19.9,8.54575553107594,86.78,1.0,critical,0,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-30,S002,P0006,Clothing,2023-12-30,0,0,0,1,65.8,440.2,28.6,12.27627905917336,87.53,0.0,critical,95,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2023-12-31,S002,P0006,Clothing,2023-12-31,73,0,0,1,68.9,453.1,24.1,10.34537248360474,87.88,0.8,critical,21,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-01,S002,P0006,Clothing,2024-01-01,0,0,0,1,55.7,392.6,30.8,13.210879498807072,87.99,0.0,critical,87,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-02,S002,P0006,Clothing,2024-01-02,0,0,0,1,54.7,400.8,31.3,13.42850848284016,87.71,0.0,critical,86,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-03,S002,P0006,Clothing,2024-01-03,100,0,0,1,59.2,428.2,49.3,21.1520637316826,88.68,1.1,critical,9,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-04,S002,P0006,Clothing,2024-01-04,0,0,0,1,65.4,452.8,46.2,19.810184302119254,89.09,0.0,critical,112,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-05,S002,P0006,Clothing,2024-01-05,38,0,0,1,72.2,511.7,55.0,23.604996919441565,90.02,0.4,critical,90,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-06,S002,P0006,Clothing,2024-01-06,68,0,0,1,73.3,511.7,53.0,22.725967616402215,90.27,0.8,critical,59,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-07,S002,P0006,Clothing,2024-01-07,0,0,0,1,74.9,492.5,61.1,26.21091270181288,90.22,0.0,critical,136,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-08,S002,P0006,Clothing,2024-01-08,0,0,0,1,73.6,518.5,69.3,29.721583324753677,90.11,0.0,critical,143,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-09,S002,P0006,Clothing,2024-01-09,52,0,0,1,78.2,561.9,66.9,28.72159967939073,90.8,0.6,critical,94,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-10,S002,P0006,Clothing,2024-01-10,0,0,0,1,74.1,533.6,65.0,27.906479403568703,89.93,0.0,critical,140,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-11,S002,P0006,Clothing,2024-01-11,0,0,0,1,79.2,541.2,65.6,28.139768118464048,90.47,0.0,critical,145,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-12,S002,P0006,Clothing,2024-01-12,0,0,0,1,74.7,525.5,65.2,27.991274579764145,90.19,0.0,critical,140,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-13,S002,P0006,Clothing,2024-01-13,45,0,0,1,72.3,517.5,63.2,27.12968242598916,90.0,0.5,critical,91,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-14,S002,P0006,Clothing,2024-01-14,46,0,0,1,78.1,530.5,65.3,28.0364930866843,89.39,0.5,critical,98,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-15,S002,P0006,Clothing,2024-01-15,75,0,0,1,76.8,521.6,77.6,33.2934124291453,89.69,0.8,critical,80,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-16,S002,P0006,Clothing,2024-01-16,18,0,0,1,65.2,472.2,76.3,32.754640655649055,89.23,0.2,critical,124,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-17,S002,P0006,Clothing,2024-01-17,95,0,0,1,63.5,446.7,74.4,31.93728401867872,88.62,1.1,critical,43,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-18,S002,P0006,Clothing,2024-01-18,29,0,0,1,62.6,426.8,73.0,31.333337090031165,88.61,0.3,critical,107,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
2024-01-19,S002,P0006,Clothing,2024-01-19,23,0,0,1,59.0,414.3,71.3,30.614100057420014,88.98,0.3,critical,108,ready,ready,,v1,ensemble_v2,2026-07-13T07:06:13.058276
